Год,Производство (добыча) первичной энергии с учетом запасов,Импорт,Экспорт,Валовое потребление ТЭР,Преобразование,Преобразование в тепловую и электрическую энергии,Переработка в другие виды топлива,Потребление в неэнергетическом секторе,Сырье для производства нетопливной продукции,Материалы на нетопливные нужды,Потери,Конечное потребление,Потребление в промышленности,горнодобывающая промышленность,обрабатывающая,"производство продуктов питания, напитков и табачных изделий","производство текстильных изделий, одежды, изделий из кожи и меха",производство изделий из дерева и бумаги; полиграфи-ческая деятельность и тиражирование записанных носителей информации,производство кокса и продуктов нефтепереработки,производство химических продуктов,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","металлургическое производство, производство готовых металлических изделий, кроме машин и оборудования","производство машин и оборудования, не включенных в другие группировки",производство транспортных средств и оборудования,производство прочих готовых изделий,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",строительство,"Сельское, лесное и рыбное хозяйство",Транспорт,Сектор услуг,Жилищный сектор,Топливо_Автомобильный бензин,Топливо_Газ горючий (природный и попутный),Топливо_Газ нефтепреработки,Топливо_Дизельное топливо,Топливо_Дрова,"Топливо_Кокс, коксик и коксовая мелочь",Топливо_Нефть и газоконденсат,Топливо_Прочие виды природного топлива,Топливо_Прочие виды продуктов переработки топлива,Топливо_Сжиженный газ,Топливо_ТЭР- всего,Топливо_Теплоэнергия,Топливо_Топливные брикеты,Топливо_Топливо для реактивных двигателей,Топливо_Топочный мазут,Топливо_Торф топливный,Топливо_Уголь,Топливо_Электроэнергия (включая атомную и гидроэнергию)
0.0,0.044485975337039164,0.41749788417361866,0.06960766588320376,0.28084280565566955,0.48675291510975083,0.00014869151467089613,0.7396627001112919,0.22258064516129034,0.22352124088436162,0.015384615384615385,0.1610912633972069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.009024982429237749,0.3496856486519163,0.0,0.23349439581765613,0.3286516326492292,0.8656819984139572,0.0010558456753131866,0.171889400921659,0.1721264035189258,0.07692307692307693,0.07989607015264696,0.11317910202291541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1401893511682446,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0023161459331672097,0.0017228871962277838,0.0,0.0013663907481484415,0.001596034324126406,0.004212926249008723,0.0,0.0001152073732718894,0.0,0.015384615384615385,0.0,0.00142536045172962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006948666724572223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.013944795859689477,0.0,0.0,0.0074458394391857105,0.012711943969806785,0.0030233941316415544,0.017578403675484404,0.0002304147465437788,0.0,0.03076923076923077,0.015264696329977265,0.00071268022586481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685833405715279e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.022187080697718995,0.0,0.0,0.012554952671392927,0.005783277315658035,0.015216098334655035,2.85363696030591e-05,0.0018433179723502304,0.0006945248292626461,0.15384615384615385,0.0003247807729782397,0.02546461268570802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06210370885086425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.007970736694140949,0.0,0.0,0.0037427224840587744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010361274052957623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00746981672891514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01360935403488595,0.0,0.005315494485626469,0.0057824072240484775,0.0016523649473308673,0.0043616177636796195,0.0,0.0,0.0,0.0,0.0,0.013595745847267145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03430904195257535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08041019743147403,1.5113045580945472e-05,0.12203941421081178,0.015238227256525011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04218518721561318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060019108833492575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15064532617724108,0.006952000967234917,0.2459591393961309,0.02938730246742445,0.00011266124640892276,0.00029738302934179226,0.0,0.0001152073732718894,0.0,0.015384615384615385,0.0,0.08116331341483471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03830452531920438,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1399111877835282,0.005365131181235642,0.2622310612909058,0.017238306467582874,0.021330529320089376,0.056304520222045996,0.0,0.0009216589861751152,0.0008102789674730871,0.015384615384615385,0.0,0.016364234416972753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
