Год,Топливо,Производство (добыча) первичной энергии с учетом запасов,Импорт,Экспорт,Валовое потребление ТЭР,Преобразование,Преобразование в тепловую и электрическую энергии,Переработка в другие виды топлива,Потребление в неэнергетическом секторе,Сырье для производства нетопливной продукции,Материалы на нетопливные нужды,Потери,Конечное потребление,Потребление в промышленности,горнодобывающая промышленность,обрабатывающая,"производство продуктов питания, напитков и табачных изделий","производство текстильных изделий, одежды, изделий из кожи и меха",производство изделий из дерева и бумаги; полиграфи-ческая деятельность и тиражирование записанных носителей информации,производство кокса и продуктов нефтепереработки,производство химических продуктов,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","металлургическое производство, производство готовых металлических изделий, кроме машин и оборудования","производство машин и оборудования, не включенных в другие группировки",производство транспортных средств и оборудования,производство прочих готовых изделий,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",строительство,"Сельское, лесное и рыбное хозяйство",Транспорт,Сектор услуг,Жилищный сектор,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2005.0,Нефть и газоконденсат,2664.0,27625.0,1925.0,28364,25923.0,3.0,25920.0,1932.0,1931.0,1.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.0
2005.0,Газ горючий (природный и попутный),444.0,23138.0,0.0,23582,17503.0,17466.0,37.0,1492.0,1487.0,5.0,246.0,4129.0,,,,,,,,,,,,,,,,,,,1614.0,,1614.0,1614.0,212.0
2005.0,Уголь,24.0,114.0,0.0,138,85.0,85.0,0.0,1.0,0.0,1.0,0.0,52.0,,,,,,,,,,,,,,,,,,,8.0,,8.0,8.0,0.0
2005.0,Торф топливный,752.0,0.0,0.0,752,677.0,61.0,616.0,2.0,0.0,2.0,47.0,26.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.0
2005.0,Дрова,1268.0,0.0,0.0,1268,308.0,307.0,1.0,16.0,6.0,10.0,1.0,929.0,,,,,,,,,,,,,,,,,,,715.0,,715.0,715.0,14.0
2005.0,Прочие виды природного топлива,378.0,0.0,0.0,378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,,,,,,,,,,,,,,,,,,,86.0,,86.0,86.0,0.0
2005.0,Топливные брикеты,731.0,0.0,147.0,584,88.0,88.0,0.0,0.0,0.0,0.0,0.0,496.0,,,,,,,,,,,,,,,,,,,395.0,,395.0,395.0,0.0
2005.0,Автомобильный бензин,4913.0,1.0,3375.0,1539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.0,,,,,,,,,,,,,,,,,,,691.0,,691.0,691.0,0.0
2005.0,Дизельное топливо,9310.0,460.0,6802.0,2968,6.0,6.0,0.0,1.0,0.0,1.0,0.0,2961.0,,,,,,,,,,,,,,,,,,,441.0,,441.0,441.0,0.0
2005.0,Топочный мазут,8638.0,355.0,7252.0,1741,1136.0,1136.0,0.0,8.0,7.0,1.0,0.0,597.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
